base_name,percentage_within_threshold
ground_ground_542_gt.ply,0.0
ground_ground_765_gt.ply,0.0
ground_ground_75_gt.ply,0.0
ground_ground_191_gt.ply,0.0
ground_ground_618_gt.ply,0.0
ground_ground_469_gt.ply,0.0
ground_ground_497_gt.ply,0.0
ground_ground_23_gt.ply,0.0
ground_ground_612_gt.ply,0.0
ground_ground_198_gt.ply,0.0
ground_ground_487_gt.ply,0.0
ground_ground_509_gt.ply,0.0
ground_ground_100_gt.ply,0.0
ground_ground_548_gt.ply,0.0
ground_ground_256_gt.ply,0.0
ground_ground_670_gt.ply,0.0
ground_ground_230_gt.ply,0.0
ground_ground_235_gt.ply,0.0
ground_ground_173_gt.ply,0.0
ground_ground_323_gt.ply,0.0
ground_ground_404_gt.ply,0.0
ground_ground_686_gt.ply,0.0
ground_ground_339_gt.ply,0.0
ground_ground_222_gt.ply,0.0
ground_ground_505_gt.ply,0.0
ground_ground_291_gt.ply,0.0
ground_ground_527_gt.ply,0.0
ground_ground_114_gt.ply,0.0
ground_ground_60_gt.ply,0.0
ground_ground_215_gt.ply,0.0
ground_ground_531_gt.ply,0.0
ground_ground_682_gt.ply,0.0
ground_ground_301_gt.ply,0.0
ground_ground_768_gt.ply,0.0
ground_ground_775_gt.ply,0.0
ground_ground_25_gt.ply,0.0
ground_ground_710_gt.ply,0.0
ground_ground_395_gt.ply,0.0
ground_ground_68_gt.ply,0.0
ground_ground_619_gt.ply,0.0
ground_ground_481_gt.ply,0.0
ground_ground_52_gt.ply,0.0
ground_ground_449_gt.ply,0.0
ground_ground_183_gt.ply,0.0
ground_ground_533_gt.ply,0.0
ground_ground_240_gt.ply,0.0
ground_ground_528_gt.ply,0.0
ground_ground_807_gt.ply,0.0
ground_ground_435_gt.ply,0.0
ground_ground_641_gt.ply,0.0
ground_ground_88_gt.ply,0.0
ground_ground_6_gt.ply,0.0
ground_ground_582_gt.ply,0.0
ground_ground_224_gt.ply,0.0
ground_ground_669_gt.ply,0.0
ground_ground_708_gt.ply,0.0
ground_ground_182_gt.ply,0.0
ground_ground_608_gt.ply,0.0
ground_ground_282_gt.ply,0.0
ground_ground_442_gt.ply,0.0
ground_ground_57_gt.ply,0.0
ground_ground_153_gt.ply,0.0
ground_ground_609_gt.ply,0.0
ground_ground_639_gt.ply,0.0
ground_ground_631_gt.ply,0.0
ground_ground_554_gt.ply,0.0
ground_ground_71_gt.ply,0.0
ground_ground_461_gt.ply,0.0
ground_ground_133_gt.ply,0.0
ground_ground_82_gt.ply,0.0
ground_ground_776_gt.ply,0.0
ground_ground_552_gt.ply,0.0
ground_ground_770_gt.ply,0.0
ground_ground_195_gt.ply,0.0
ground_ground_248_gt.ply,0.0
ground_ground_345_gt.ply,0.0
ground_ground_309_gt.ply,0.0
ground_ground_740_gt.ply,0.0
ground_ground_380_gt.ply,0.0
ground_ground_690_gt.ply,0.0
ground_ground_567_gt.ply,0.0
ground_ground_559_gt.ply,0.0
ground_ground_48_gt.ply,0.0
ground_ground_741_gt.ply,0.0
ground_ground_373_gt.ply,0.0
ground_ground_12_gt.ply,0.0
ground_ground_766_gt.ply,0.0
ground_ground_93_gt.ply,0.0
ground_ground_188_gt.ply,0.0
ground_ground_163_gt.ply,0.0
ground_ground_780_gt.ply,0.0
ground_ground_194_gt.ply,0.0
ground_ground_522_gt.ply,0.0
